,Unnamed: 0,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar
19,19,01/08/2018,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
20,20,01/09/2018,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
21,21,01/10/2018,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
22,22,01/11/2018,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
23,23,01/12/2018,161382.8,31136.1,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
24,24,01/01/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
25,25,01/02/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
26,26,01/03/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
27,27,01/04/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
28,28,01/05/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
29,29,01/06/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
30,30,01/07/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
31,31,01/08/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
32,32,01/09/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
33,33,01/10/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
34,34,01/11/2019,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
35,35,01/12/2019,161382.8,29147.9,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
36,36,01/01/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
37,37,01/02/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
38,38,01/03/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
39,39,01/04/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
40,40,01/05/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
41,41,01/06/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
42,42,01/07/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
43,43,01/08/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
44,44,01/09/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
45,45,01/10/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
46,46,01/11/2020,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
47,47,01/12/2020,161382.8,29931.1,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19000862.43,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3022975.198
48,48,01/01/2021,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
49,49,01/02/2021,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
50,50,01/03/2021,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
